01/01;Jour de l'an
02/01;Basile
03/01;Geneviève
04/01;Odilon
05/01;Edouard
06/01;Mélaine
07/01;Raymond
08/01;Lucien
09/01;Alix
10/01;Guillaume
11/01;Paulin
12/01;Tatiana
13/01;Yvette
14/01;Nina
15/01;Rémi
16/01;Marcel
17/01;Roseline
18/01;Prisca
19/01;Marius
20/01;Sébastien
21/01;Agnès
22/01;Vincent
23/01;Barnard
24/01;François de Sales
25/01;Ananie
26/01;Paule
27/01;Angèle
28/01;Thomas d'Aquin
29/01;Gildas
30/01;Martine
31/01;Marcelle
01/02;Ella
02/02;Théophane
03/02;Blaise
04/02;Véronique
05/02;Agathe
06/02;Gaston
07/02;Eugénie
08/02;Jacqueline
09/02;Apolline
10/02;Arnaud
11/02;Héloïse
12/02;Félix
13/02;Béatrice
14/02;Valentin
15/02;Claude
16/02;Julienne
17/02;Alexis
18/02;Bernadette
19/02;Gabin
20/02;Aimée
21/02;Pierre-Damien
22/02;Isabelle
23/02;Lazare
24/02;Modeste
25/02;Roméo
26/02;Nestor
27/02;Honorine
28/02;Romain
29/02;Auguste
01/03;Aubin
02/03;Charles le Bon
03/03;Guénolé
04/03;Casimir
05/03;Olive
06/03;Colette
07/03;Félicité
08/03;Jean de Dieu
09/03;Françoise
10/03;Vivien
11/03;Rosine
12/03;Justine
13/03;Rodrigue
14/03;Mathilde
15/03;Louise
16/03;Bénédicte
17/03;Patrice
18/03;Cyrille
19/03;Joseph
20/03;Herbert
21/03;Clémence
22/03;Léa
23/03;Victorien
24/03;Catherine de Suède
25/03;Humbert
26/03;Larissa
27/03;Habib
28/03;Gontran
29/03;Gwladys
30/03;Amédée
31/03;Benjamin
01/04;Hugues
02/04;Sandrine
03/04;Richard
04/04;Isidore
05/04;Irène
06/04;Marcellin
07/04;Jean-Baptiste de la Salle
08/04;Julie
09/04;Gauthier
10/04;Fulbert
11/04;Stanislas
12/04;Jules
13/04;Ida
14/04;Maxime
15/04;Paterne
16/04;Benoît-Joseph
17/04;Anicet
18/04;Parfait
19/04;Emma
20/04;Odette
21/04;Anselme
22/04;Alexandre
23/04;Georges
24/04;Fidèle
25/04;Marc/Jean-Marc
26/04;Alida
27/04;Zita
28/04;Valérie
29/04;Catherine de Sienne
30/04;Robert
01/05;Jérémy
02/05;Boris
03/05;Philippe, Jacques le Mineur
04/05;Sylvain
05/05;Judith
06/05;Prudence
07/05;Gisèle
08/05;Désiré
09/05;Pacôme
10/05;Solange
11/05;Estelle
12/05;Achille
13/05;Rolande
14/05;Matthias
15/05;Denise
16/05;Honoré
17/05;Pascal
18/05;Eric
19/05;Yves
20/05;Bernardin
21/05;Constantin
22/05;Émile
23/05;Didier
24/05;Donatien
25/05;Sophie
26/05;Bérenger
27/05;Augustin
28/05;Germaine
29/05;Aymard
30/05;Ferdinand
31/05;Perrine
01/06;Justin
02/06;Blandine
03/06;Kévin
04/06;Clotilde
05/06;Igor
06/06;Norbert
07/06;Gilbert
08/06;Médard
09/06;Diane
10/06;Landry
11/06;Barnabé
12/06;Guy
13/06;Antoine de Padoue
14/06;Élisée
15/06;Germaine
16/06;Jean-François Régis
17/06;Hervé
18/06;Léonce
19/06;Romuald
20/06;Silvère
21/06;Rodolphe
22/06;Alban
23/06;Audrey
24/06;Jean-Baptiste
25/06;Prosper
26/06;Anthelme
27/06;Fernand
28/06;Irénée
29/06;Pierre/Paul
30/06;Martial
01/07;Thierry
02/07;Martinien
03/07;Thomas
04/07;Florent
05/07;Antoine
06/07;Mariette
07/07;Raoul
08/07;Thibaut/Kelly
09/07;Amandine
10/07;Ulrich
11/07;Benoît
12/07;Olivier
13/07;Henri/Joël
14/07;Camille
15/07;Donald
16/07;Carmen
17/07;Charlotte
18/07;Frédéric
19/07;Arsène
20/07;Marina/Elio
21/07;Victor
22/07;Marie-Madeleine
23/07;Brigitte
24/07;Christine
25/07;Jacques
26/07;Anne/Joachim
27/07;Nathalie
28/07;Samson
29/07;Marthe
30/07;Juliette
31/07;Ignace de Loyola
01/08;Alphonse
02/08;Julien
03/08;Lydie
04/08;Jean-Marie
05/08;Abel
06/08;Octavien
07/08;Gaétan
08/08;Dominique
09/08;Amour
10/08;Laurent
11/08;Claire
12/08;Clarisse
13/08;Hippolyte
14/08;Evrard
15/08;Marie
16/08;Armel
17/08;Hyacinthe
18/08;Hélène
19/08;Jean-Eudes
20/08;Bernard/Samuel
21/08;Christophe
22/08;Fabrice
23/08;Rose
24/08;Barthélémy/Nathaël
25/08;Louis
26/08;Natacha
27/08;Monique
28/08;Augustin
29/08;Sabine
30/08;Fiacre
31/08;Aristide
01/09;Gilles
02/09;Ingrid
03/09;Grégoire
04/09;Rosalie
05/09;Raissa
06/09;Bertrand
07/09;Reine
08/09;Adrien
09/09;Alain
10/09;Inès
11/09;Adelphe/Glen
12/09;Apollinaire
13/09;Aimé
14/09;Cyprien
15/09;Roland
16/09;Édith
17/09;Renaud
18/09;Nadège
19/09;Émilie
20/09;Davy
21/09;Matthieu
22/09;Maurice
23/09;Constant
24/09;Thècle
25/09;Hermann
26/09;Côme/Damien
27/09;Vincent de Paul
28/09;Venceslas
29/09;Mickaël
30/09;Jérôme
01/10;Thérèse
02/10;Léger
03/10;Gérard
04/10;François
05/10;Fleur
06/10;Bruno
07/10;Serge
08/10;Pélagie
09/10;Denis
10/10;Ghislain
11/10;Firmin
12/10;Wilfried
13/10;Géraud
14/10;Juste
15/10;Aurélie
16/10;Edwige
17/10;Baudouin
18/10;Luc
19/10;René
20/10;Adeline
21/10;Céline
22/10;Élodie
23/10;Jean de Capistran
24/10;Florentin
25/10;Crépin
26/10;Dimitri
27/10;Émeline
28/10;Simon/Jude
29/10;Narcisse
30/10;Bienvenue
31/10;Quentin
01/11;Harold
02/11;Océane
03/11;Hubert
04/11;Charles
05/11;Sylvie
06/11;Bertille
07/11;Carine
08/11;Geoffroy
09/11;Théodore
10/11;Léon
11/11;Martin
12/11;Christian
13/11;Brice
14/11;Sidoine
15/11;Albert
16/11;Marguerite
17/11;Elisabeth
18/11;Aude
19/11;Tanguy
20/11;Edmond
21/11;Rufus
22/11;Cécile
23/11;Clément
24/11;Flora
25/11;Catherine
26/11;Delphine
27/11;Séverin
28/11;Jacques de la Marche
29/11;Saturnin
30/11;André
01/12;Florence
02/12;Viviane
03/12;Xavier
04/12;Barbara
05/12;Gérald
06/12;Nicolas/Nolan
07/12;Ambroise
08/12;Elfried
09/12;Pierre Fourier
10/12;Romaric
11/12;Daniel
12/12;Corentin
13/12;Lucie
14/12;Odile
15/12;Ninon
16/12;Alice
17/12;Gaël
18/12;Gatien
19/12;Urbain
20/12;Théophile
21/12;Pierre Canisius
22/12;Françoise-Xavière
23/12;Armand
24/12;Adèle
25/12;Emmanuel
26/12;Étienne
27/12;Jean
28/12;Gaspard
29/12;David
30/12;Roger
31/12;Sylvestre
